Reference, Value, Footprint, Datasheet, Manufacturer Part Number, Package, Type, Generic Name, LCSC Part Number, Manufacturer, Spice_Model, Spice_Netlist_Enabled, Spice_Primitive, Farnell
"C1","10µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR61A106KE19L","0805","Capacitor","","C77073","Murata","","","",""
"SW_POW_EN1","SW_SPDT","Laptreus v2 Footprints:EG1218","","EG1218","EG1218","SPDT Switch","","C273394","E-Switch","","","",""
"U3","MDBT40","Adafruit Feather 32u4 Bluefruit LE:BLE_MODULE_RAYTAC_MDBT40","","MDBT40","MDBT40","MCU","","","Raytac","","","",""
"D1","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D13","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D25","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D37","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D12","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D24","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D36","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D48","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"SW_POW_EN2","SW_SPDT","Laptreus v2 Footprints:EG1218","","EG1218","EG1218","SPDT Switch","","C273394","E-Switch","","","",""
"J1","HRO-TYPE-C-31-M-12","Laptreus v2 Footprints:HRO-TYPE-C-31-M-12","","TYPE-C-31-M-13","","Connector","","C223906","Korean Hroparts Elec","","","",""
"R12","5.1K","Laptreus v2 Footprints:0805-NO","~","CR0805F85101G","0805","Resistor","","C101769","LIZ Elec","","","",""
"R11","5.1K","Laptreus v2 Footprints:0805-NO","~","CR0805F85101G","0805","Resistor","","C101769","LIZ Elec","","","",""
"S1","Screw","Laptreus v2 Footprints:PKRH-Round","~","","","Screwhole","","","","","","",""
"S2","Screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"S4","Screw","Laptreus v2 Footprints:PKRHSL","~","","","Screwhole","","","","","","",""
"S5","Screw","Laptreus v2 Footprints:PKRHSL","~","","","Screwhole","","","","","","",""
"S6","Screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"J2","ISP","Laptreus v2 Footprints:isp_standard","~","","","Pin","","","","","","",""
"F1","Polyfuse","Laptreus v2 Footprints:0805-NO","~","12H1200C","SMD1206","Polyfuse","PPTC Resettable Fuse","C182310","Shenzhen lanson Elec","","","",""
"S8","Tofu screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"S9","Tofu screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"R8","22","Laptreus v2 Footprints:0805-NO","~","CR0805F822R0G","0805","Resistor","","C101576","LIZ Elec","","","",""
"R9","22","Laptreus v2 Footprints:0805-NO","~","CR0805F822R0G","0805","Resistor","","C101576","LIZ Elec","","","",""
"U6","USBLC6-2SC6","Laptreus v2 Footprints:USBLC6-2SC6","","USBLC6-2SC6","SOT23-6","ESD Diodes","","C7519","STMicroelectronics","","","","1295310"
"R10","1K","Laptreus v2 Footprints:0805-NO","~","CR0805F81001G","0805","Resistor","","C101404","LIZ Elec","","","",""
"C20","100nF","Laptreus v2 Footprints:Capacitor-0805MP","","GCM21BR72A104KA37L","0805","Capacitor","","C85866","Murata","","","",""
"S7","Tofu screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"R13","2.2K","Laptreus v2 Footprints:0805-NO","~","CR0805F82201G","0805","Resistor","","C101565","LIZ Elec","","","",""
"S3","Screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"X2","JSTPH","Adafruit Feather 32u4 Bluefruit LE:JSTPH2","","A2001WR-S-2P","JST PH","Connector","","C375128","CNJM","","","",""
"JP1","PINHD-1X1CB","Adafruit NeoPixel Ring 12:1X01-CLEANBIG","","","","Pin","","","","","","",""
"JP2","PINHD-1X1CB","Adafruit NeoPixel Ring 12:1X01-CLEANBIG","","","","Pin","","","","","","",""
"JP3","PINHD-1X1CB","Adafruit NeoPixel Ring 12:1X01-CLEANBIG","","","","Pin","","","","","","",""
